,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1005,24,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666
1,2012,28,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.07692307692307693
2,3018,31,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.14285714285714285
3,4024,33,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
4,5025,34,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.06666666666666667
5,6028,35,0.06666666666666667,0.2,0.13333333333333333,0.4,0.13333333333333333,0.06666666666666667
6,7032,35,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.06666666666666667
7,8037,36,0.0625,0.1875,0.125,0.4375,0.125,0.0625
8,9042,36,0.0625,0.1875,0.125,0.4375,0.125,0.0625
9,10044,36,0.0625,0.1875,0.125,0.4375,0.125,0.0625
10,11079,37,0.0625,0.1875,0.125,0.4375,0.125,0.0625
11,12090,37,0.0625,0.1875,0.125,0.4375,0.125,0.0625
12,13097,38,0.125,0.125,0.125,0.4375,0.125,0.0625
13,14111,39,0.1875,0.125,0.125,0.375,0.125,0.0625
14,15121,39,0.1875,0.125,0.125,0.375,0.125,0.0625
15,16134,39,0.1875,0.125,0.125,0.375,0.125,0.0625
16,17145,41,0.25,0.125,0.125,0.3125,0.125,0.0625
17,18153,42,0.25,0.125,0.125,0.3125,0.125,0.0625
18,19162,42,0.25,0.125,0.1875,0.25,0.125,0.0625
19,20014,42,0.25,0.125,0.1875,0.25,0.125,0.0625
