,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1002,28,0.08333333333333333,0.08333333333333333,0.25,0.4166666666666667,0.08333333333333333,0.08333333333333333
1,2006,29,0.08333333333333333,0.08333333333333333,0.25,0.4166666666666667,0.08333333333333333,0.08333333333333333
2,3012,31,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.38461538461538464,0.07692307692307693,0.07692307692307693
3,4015,32,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.07692307692307693
4,5021,32,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
5,6024,34,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.07142857142857142
6,7025,36,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.07142857142857142
7,8032,36,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.07142857142857142
8,9035,36,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.07142857142857142
9,10039,39,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.07142857142857142
10,11053,41,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.07142857142857142
11,12074,43,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.07142857142857142
12,13094,43,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.07142857142857142
13,14117,44,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.07142857142857142
14,15134,46,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142
15,16155,47,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142
16,17174,47,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142
17,18194,47,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142
18,19221,47,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142
19,20023,47,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142
