,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1005,19,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.18181818181818182
1,2009,20,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.15384615384615385,0.15384615384615385
2,3014,23,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.15384615384615385
3,4017,23,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
4,5023,24,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.13333333333333333
5,6026,26,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.13333333333333333
6,7033,29,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.07142857142857142
7,8037,30,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.14285714285714285
8,9039,30,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.14285714285714285
9,10042,30,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.14285714285714285
10,11069,31,0.13333333333333333,0.2,0.06666666666666667,0.4,0.06666666666666667,0.13333333333333333
11,12074,32,0.2,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.06666666666666667
12,13078,33,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.06666666666666667
13,14082,34,0.26666666666666666,0.2,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.06666666666666667
14,15084,34,0.26666666666666666,0.2,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.06666666666666667
15,16088,36,0.2,0.2,0.06666666666666667,0.4,0.06666666666666667,0.06666666666666667
16,17090,36,0.2,0.2,0.06666666666666667,0.4,0.06666666666666667,0.06666666666666667
17,18101,37,0.25,0.1875,0.0625,0.375,0.0625,0.0625
18,19111,37,0.25,0.1875,0.0625,0.375,0.0625,0.0625
19,20021,37,0.25,0.1875,0.0625,0.375,0.0625,0.0625
