,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1008,33,0.25,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333
1,2011,35,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693
2,3013,37,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142
3,4019,39,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.07142857142857142
4,5025,41,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142
5,6028,42,0.13333333333333333,0.4,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667
6,7033,43,0.13333333333333333,0.4666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
7,8042,46,0.13333333333333333,0.4666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
8,9045,47,0.13333333333333333,0.4,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667
9,10052,47,0.13333333333333333,0.4,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667
10,11063,49,0.4,0.2,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
11,12084,49,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
12,13104,49,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
13,14126,51,0.375,0.25,0.0625,0.1875,0.0625,0.0625
14,15147,51,0.375,0.25,0.0625,0.1875,0.0625,0.0625
15,16168,51,0.375,0.25,0.0625,0.1875,0.0625,0.0625
16,17185,51,0.375,0.25,0.0625,0.1875,0.0625,0.0625
17,18209,52,0.375,0.25,0.0625,0.1875,0.0625,0.0625
18,19232,52,0.375,0.25,0.0625,0.1875,0.0625,0.0625
19,20254,52,0.375,0.25,0.0625,0.1875,0.0625,0.0625
20,21278,52,0.375,0.25,0.0625,0.1875,0.0625,0.0625
21,22300,52,0.375,0.25,0.0625,0.1875,0.0625,0.0625
22,23321,53,0.375,0.25,0.0625,0.1875,0.0625,0.0625
23,24338,53,0.3125,0.25,0.0625,0.25,0.0625,0.0625
24,25362,54,0.375,0.1875,0.0625,0.25,0.0625,0.0625
25,26388,55,0.3125,0.25,0.0625,0.25,0.0625,0.0625
26,27411,55,0.3125,0.25,0.0625,0.25,0.0625,0.0625
27,28430,56,0.3125,0.1875,0.0625,0.3125,0.0625,0.0625
28,29449,57,0.25,0.1875,0.0625,0.375,0.0625,0.0625
29,30469,57,0.25,0.1875,0.0625,0.375,0.0625,0.0625
30,31488,57,0.25,0.1875,0.0625,0.375,0.0625,0.0625
31,32514,57,0.25,0.1875,0.0625,0.375,0.0625,0.0625
32,33533,57,0.25,0.1875,0.0625,0.375,0.0625,0.0625
33,34550,57,0.25,0.1875,0.0625,0.375,0.0625,0.0625
34,35575,57,0.25,0.1875,0.0625,0.375,0.0625,0.0625
35,36612,57,0.25,0.1875,0.0625,0.375,0.0625,0.0625
36,37627,57,0.25,0.1875,0.0625,0.375,0.0625,0.0625
37,38639,57,0.25,0.1875,0.0625,0.375,0.0625,0.0625
38,39654,57,0.25,0.1875,0.0625,0.375,0.0625,0.0625
39,40658,58,0.3125,0.125,0.0625,0.375,0.0625,0.0625
40,41669,58,0.3125,0.125,0.0625,0.375,0.0625,0.0625
41,42681,58,0.3125,0.125,0.0625,0.375,0.0625,0.0625
42,43690,58,0.3125,0.125,0.0625,0.375,0.0625,0.0625
43,44705,58,0.3125,0.125,0.0625,0.375,0.0625,0.0625
44,45717,58,0.3125,0.125,0.0625,0.375,0.0625,0.0625
45,46730,58,0.3125,0.125,0.0625,0.375,0.0625,0.0625
46,47741,58,0.3125,0.125,0.0625,0.375,0.0625,0.0625
47,48743,58,0.25,0.125,0.0625,0.375,0.0625,0.125
48,49757,58,0.25,0.125,0.0625,0.375,0.0625,0.125
49,50000,58,0.25,0.125,0.0625,0.375,0.0625,0.125
