,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1004,27,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
1,2009,28,0.08333333333333333,0.5,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
2,3013,32,0.07142857142857142,0.5,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142
3,4017,33,0.07142857142857142,0.5,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142
4,5022,35,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
5,6023,35,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
6,7027,36,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
7,8030,36,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
8,9035,37,0.06666666666666667,0.6,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667
9,10042,37,0.13333333333333333,0.5333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667
10,11055,39,0.2,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667
11,12075,39,0.2,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667
12,13095,39,0.2,0.4,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667
13,14116,40,0.25,0.4375,0.0625,0.125,0.0625,0.0625
14,15143,40,0.25,0.4375,0.0625,0.125,0.0625,0.0625
15,16164,40,0.25,0.4375,0.0625,0.125,0.0625,0.0625
16,17189,41,0.1875,0.5,0.0625,0.125,0.0625,0.0625
17,18208,41,0.1875,0.5,0.0625,0.125,0.0625,0.0625
18,19229,41,0.1875,0.5,0.0625,0.125,0.0625,0.0625
19,20029,42,0.25,0.4375,0.0625,0.125,0.0625,0.0625
